,city_id,city_name,state_num_id
0,1200013,Acrelândia,12
1,1200054,Assis Brasil,12
2,1200104,Brasiléia,12
3,1200138,Bujari,12
4,1200179,Capixaba,12
5,1200203,Cruzeiro do Sul,12
6,1200252,Epitaciolândia,12
7,1200302,Feijó,12
8,1200328,Jordão,12
9,1200336,Mâncio Lima,12
10,1200344,Manoel Urbano,12
11,1200351,Marechal Thaumaturgo,12
12,1200385,Plácido de Castro,12
13,1200393,Porto Walter,12
14,1200401,Rio Branco,12
15,1200427,Rodrigues Alves,12
16,1200435,Santa Rosa do Purus,12
17,1200450,Senador Guiomard,12
18,1200500,Sena Madureira,12
19,1200609,Tarauacá,12
20,1200708,Xapuri,12
21,1200807,Porto Acre,12
22,2700102,Água Branca,27
23,2700201,Anadia,27
24,2700300,Arapiraca,27
25,2700409,Atalaia,27
26,2700508,Barra de Santo Antônio,27
27,2700607,Barra de São Miguel,27
28,2700706,Batalha,27
29,2700805,Belém,27
30,2700904,Belo Monte,27
31,2701001,Boca da Mata,27
32,2701100,Branquinha,27
33,2701209,Cacimbinhas,27
34,2701308,Cajueiro,27
35,2701357,Campestre,27
36,2701407,Campo Alegre,27
37,2701506,Campo Grande,27
38,2701605,Canapi,27
39,2701704,Capela,27
40,2701803,Carneiros,27
41,2701902,Chã Preta,27
42,2702009,Coité do Nóia,27
43,2702108,Colônia Leopoldina,27
44,2702207,Coqueiro Seco,27
45,2702306,Coruripe,27
46,2702355,Craíbas,27
47,2702405,Delmiro Gouveia,27
48,2702504,Dois Riachos,27
49,2702553,Estrela de Alagoas,27
50,2702603,Feira Grande,27
51,2702702,Feliz Deserto,27
52,2702801,Flexeiras,27
53,2702900,Girau do Ponciano,27
54,2703007,Ibateguara,27
55,2703106,Igaci,27
56,2703205,Igreja Nova,27
57,2703304,Inhapi,27
58,2703403,Jacaré dos Homens,27
59,2703502,Jacuípe,27
60,2703601,Japaratinga,27
61,2703700,Jaramataia,27
62,2703759,Jequiá da Praia,27
63,2703809,Joaquim Gomes,27
64,2703908,Jundiá,27
65,2704005,Junqueiro,27
66,2704104,Lagoa da Canoa,27
67,2704203,Limoeiro de Anadia,27
68,2704302,Maceió,27
69,2704401,Major Isidoro,27
70,2704500,Maragogi,27
71,2704609,Maravilha,27
72,2704708,Marechal Deodoro,27
73,2704807,Maribondo,27
74,2704906,Mar Vermelho,27
75,2705002,Mata Grande,27
76,2705101,Matriz de Camaragibe,27
77,2705200,Messias,27
78,2705309,Minador do Negrão,27
79,2705408,Monteirópolis,27
80,2705507,Murici,27
81,2705606,Novo Lino,27
82,2705705,Olho d'Água das Flores,27
83,2705804,Olho d'Água do Casado,27
84,2705903,Olho d'Água Grande,27
85,2706000,Olivença,27
86,2706109,Ouro Branco,27
87,2706208,Palestina,27
88,2706307,Palmeira dos Índios,27
89,2706406,Pão de Açúcar,27
90,2706422,Pariconha,27
91,2706448,Paripueira,27
92,2706505,Passo de Camaragibe,27
93,2706604,Paulo Jacinto,27
94,2706703,Penedo,27
95,2706802,Piaçabuçu,27
96,2706901,Pilar,27
97,2707008,Pindoba,27
98,2707107,Piranhas,27
99,2707206,Poço das Trincheiras,27
100,2707305,Porto Calvo,27
101,2707404,Porto de Pedras,27
102,2707503,Porto Real do Colégio,27
103,2707602,Quebrangulo,27
104,2707701,Rio Largo,27
105,2707800,Roteiro,27
